location,corners,center,sensor_distances,calculated_RSSI,avg_RSSI,mode_RSSI,best_RSSI,is_emitter,score,hasSensor,localizationGuesses
"(7, 78)","((26.71339746948766, -80.05617002560814), (26.71339746948766, -80.05615995782534), (26.71340646270372, -80.05617002560814), (26.71340646270372, -80.05615995782534))","(26.713401966095688, -80.05616499171674)","{'57': 76.53192769651798, '20': 55.92522561140575, '05': 11.36358483165507, '34': 48.919575868235555, '22': 76.91910279289165, '06': 56.926511183671515, '31': 19.057610862064, '36': 21.94396345639331, '35': 44.29950527866546}","{'57': -61.36712035704454, '20': -57.28007312457973, '05': -36.51730153300362, '34': -55.536321272665745, '22': -61.43286707669874, '06': -57.511277830496034, '31': -43.25389442589542, '36': -45.09129292178981, '35': -54.243807067040024}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 79)","((26.71339746948766, -80.05615995782534), (26.71339746948766, -80.05614989004255), (26.71340646270372, -80.05615995782534), (26.71340646270372, -80.05614989004255))","(26.713401966095688, -80.05615492393395)","{'57': 77.52200295883424, '20': 56.90421056231789, '05': 10.95028426401973, '34': 47.936157816661016, '22': 77.92089124836191, '06': 57.92815877247476, '31': 20.057841259945103, '36': 20.95424754066065, '35': 43.301634698579996}","{'57': -61.53459033645343, '20': -57.50617286229118, '05': -36.034602582827745, '34': -55.2717374254258, '22': -61.60145811996118, '06': -57.738532525311456, '31': -43.92036647899318, '36': -44.49000288382019, '35': -53.94696953799007}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 80)","((26.71339746948766, -80.05614989004255), (26.71339746948766, -80.05613982225975), (26.71340646270372, -80.05614989004255), (26.71340646270372, -80.05613982225975))","(26.713401966095688, -80.05614485615115)","{'57': 78.51237560437302, '20': 57.88397614312644, '05': 10.615723500444316, '34': 46.953516845524994, '22': 78.92267993296907, '06': 58.92981145819518, '31': 21.058220645519064, '36': 19.96573676736818, '35': 42.30394974660092}","{'57': -61.69998433038033, '20': -57.728591456666, '05': -35.63032872910478, '34': -55.0018845828247, '22': -61.76789549869414, '06': -57.96189232906588, '31': -44.554490936786166, '36': -43.86040101043543, '35': -53.64326830796527}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 81)","((26.71339746948766, -80.05613982225975), (26.71339746948766, -80.05612975447696), (26.71340646270372, -80.05613982225975), (26.71340646270372, -80.05612975447696))","(26.713401966095688, -80.05613478836835)","{'57': 79.50303451901087, '20': 58.86448337512596, '05': 10.367528159007996, '34': 45.97170278564779, '22': 79.92446883808408, '06': 59.93146898518154, '31': 22.058728749149513, '36': 18.978619449842412, '35': 41.3064638728479}","{'57': -61.86335194245984, '20': -57.94744088439827, '05': -35.322097489439514, '34': -54.726558488699645, '22': -61.93223354257901, '06': -58.18148846663302, '31': -45.15925519029018, '36': -43.199779309624454, '35': -53.33238131711079}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 82)","((26.71339746948766, -80.05612975447696), (26.71339746948766, -80.05611968669416), (26.71340646270372, -80.05612975447696), (26.71340646270372, -80.05611968669416))","(26.713401966095688, -80.05612472058556)","{'57': 80.49396913382593, '20': 59.84569580505161, '05': 10.211997334291848, '34': 44.990769771902826, '22': 80.92625795557444, '06': 60.9331311147318, '31': 23.059348815434976, '36': 17.993124926738318, '35': 40.309191857427656}","{'57': -62.02474106655224, '20': -58.16282840304321, '05': -35.12516156394839, '34': -54.44554349537932, '22': -62.09452455109238, '06': -58.39744564265012, '31': -45.73725194712531, '36': -42.50503863952462, '35': -53.01396351840182}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 83)","((26.71339746948766, -80.05611968669416), (26.71339746948766, -80.05610961891136), (26.71340646270372, -80.05611968669416), (26.71340646270372, -80.05610961891136))","(26.713401966095688, -80.05611465280276)","{'57': 81.48516939084497, '20': 60.827579304864614, '05': 10.153390257446988, '34': 44.010776717088504, '22': 81.92804727759444, '06': 61.93479762337172, '31': 24.06006687589084, '36': 17.009535264089692, '35': 39.31214997445352}","{'57': -62.184197961783724, '20': -58.37485678952747, '05': -35.05017315464926, '34': -54.15861177718728, '22': -62.25481889338595, '06': -58.609882466268736, '31': -46.29074568530492, '36': -41.77261421935005, '35': -52.68764465970305}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 84)","((26.71339746948766, -80.05610961891136), (26.71339746948766, -80.05609955112857), (26.71340646270372, -80.05610961891136), (26.71340646270372, -80.05609955112857))","(26.713401966095688, -80.05610458501997)","{'57': 82.47662571161858, '20': 61.810101895197256, '05': 10.193378860919418, '34': 43.03178784018164, '22': 82.92983679676199, '06': 62.9364683021488, '31': 25.060871191301803, '36': 16.028201147709012, '35': 38.31535619049255}","{'57': -62.34176732374238, '20': -58.58362456705649, '05': -35.101385763648494, '34': -53.86552248323867, '22': -62.413165102157976, '06': -58.818911842058974, '31': -46.82172571009995, '36': -40.99838430165413, '35': -52.353026798097936}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 85)","((26.71339746948766, -80.05609955112857), (26.71339746948766, -80.05608948334577), (26.71340646270372, -80.05609955112857), (26.71340646270372, -80.05608948334577))","(26.713401966095688, -80.05609451723717)","{'57': 83.46832897285472, '20': 62.793233575155455, '05': 10.330818274539505, '34': 42.05387327050528, '22': 83.93162650600382, '06': 63.93814295508722, '31': 26.061751824635216, '36': 15.049563815531684, '35': 37.31883038614273}","{'57': -62.49749235274424, '20': -58.789226217644476, '05': -35.275882444126076, '34': -53.56602082962458, '22': -62.569609961836704, '06': -59.024641329891644, '31': -47.33194892681508, '36': -40.177558167084335, '35': -52.009681501385955}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 86)","((26.71339746948766, -80.05608948334577), (26.71339746948766, -80.05607941556298), (26.71340646270372, -80.05608948334577), (26.71340646270372, -80.05607941556298))","(26.713401966095688, -80.05608444945437)","{'57': 84.46027047464074, '20': 63.77694617895526, '05': 10.561904874879652, '34': 41.07710973594218, '22': 84.93341639858886, '06': 64.93982139828314, '31': 27.06270030832381, '36': 14.074185834289294, '35': 36.32259461574442}","{'57': -62.65141481711772, '20': -58.991752385590324, '05': -35.56410833272709, '34': -53.259837127267346, '22': -62.724198591561404, '06': -59.227173476989705, '31': -47.82297462699064, '36': -39.30453921442853, '35': -51.657146692638065}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 87)","((26.71339746948766, -80.05607941556298), (26.71339746948766, -80.05606934778018), (26.71340646270372, -80.05607941556298), (26.71340646270372, -80.05606934778018))","(26.713401966095688, -80.05607438167158)","{'57': 85.4524419203141, '20': 64.76121323467994, '05': 10.880673584640299, '34': 40.101581344010675, '22': 85.93520646812247, '06': 65.94150345895568, '31': 28.063709382435285, '36': 13.102795107201075, '35': 35.32667341917536}","{'57': -62.803575114761514, '20': -59.1912900675193, '05': -35.951514236624966, '34': -52.94668574171592, '22': -62.87697452329186, '06': -59.426606124567336, '31': -48.29619301039542, '36': -38.372759276956806, '35': -51.294923085141335}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 88)","((26.71339746948766, -80.05606934778018), (26.71339746948766, -80.05605927999738), (26.71340646270372, -80.05606934778018), (26.71340646270372, -80.05605927999738))","(26.713401966095688, -80.05606431388878)","{'57': 86.44483539421778, '20': 65.74600983751179, '05': 11.279693056732293, '34': 39.12738048088326, '22': 86.93699670848606, '06': 66.94318897469654, '31': 29.06477278633713, '36': 12.13634908800908, '35': 34.331094172314074}","{'57': -62.95401233098909, '20': -59.38792279251046, '05': -36.42075923428781, '34': -52.62626398638689, '22': -63.02797977538323, '06': -59.62303269140138, '31': -48.75284874733403, '36': -37.37448257905409, '35': -50.92247013464241}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 89)","((26.71339746948766, -80.05605927999738), (26.71339746948766, -80.05604921221459), (26.71340646270372, -80.05605927999738), (26.71340646270372, -80.05604921221459))","(26.713401966095688, -80.05605424610599)","{'57': 87.4374433345106, '20': 66.7313125452131, '05': 11.750790951434748, '34': 38.15460883187305, '22': 87.93878711382567, '06': 67.94487779278583, '31': 30.06588509370647, '36': 11.176130620202333, '35': 33.335887511827664}","{'57': -63.102764292485304, '20': -59.58173079454841, '05': -36.953853785899604, '34': -52.29825094435941, '22': -63.1772549219532, '06': -59.816542436364564, '31': -49.194060581053364, '36': -36.30058484860355, '35': -50.53920144021448}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 90)","((26.71339746948766, -80.05604921221459), (26.71339746948766, -80.0560391444318), (26.71340646270372, -80.05604921221459), (26.71340646270372, -80.0560391444318))","(26.713401966095688, -80.05604417832319)","{'57': 88.43025851974913, '20': 67.71709926477887, '05': 12.285678461474962, '34': 37.18337856929278, '22': 88.9405776785799, '06': 68.9465697692432, '31': 31.067041576494642, '36': 10.223894509624477, '35': 32.34108783376562}","{'57': -63.24986762039488, '20': -59.77279117182625, '05': -37.53381512668899, '34': -51.96230622841447, '22': -63.324839158325965, '06': -60.00722070170435, '31': -49.620837739908644, '36': -35.14033157430188, '35': -50.14447949694561}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 91)","((26.71339746948766, -80.0560391444318), (26.71339746948766, -80.056029076649), (26.71340646270372, -80.0560391444318), (26.71340646270372, -80.056029076649))","(26.713401966095688, -80.0560341105404)","{'57': 89.42327404770084, '20': 68.7033491613324, '05': 12.876408554334665, '34': 36.21381370945721, '22': 89.94236839741345, '06': 69.94826476836423, '31': 32.068238097581784, '36': 9.282097775557139, '35': 31.346733886075306}","{'57': -63.39535777943108, '20': -59.961178039863064, '05': -38.14568321859532, '34': -51.618068676085066, '22': -63.4707703627974, '06': -60.1951491388736, '31': -50.034093764512086, '36': -33.88122494705081, '35': -49.737609691828645}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 92)","((26.71339746948766, -80.056029076649), (26.71339746948766, -80.0560190088662), (26.71340646270372, -80.056029076649), (26.71340646270372, -80.0560190088662))","(26.713401966095688, -80.0560240427576)","{'57': 90.41648331698252, '20': 69.69004257373315, '05': 13.515661062999909, '34': 35.24605169214018, '22': 90.94415926523392, '06': 70.94996266219086, '31': 33.06947102002788, '36': 8.354271730030854, '35': 30.352869474292646}","{'57': -63.539269124799766, '20': -60.14696267591859, '05': -38.776959549493014, '34': -51.265154995827, '22': -63.61508515499131, '06': -60.38040591829875, '31': -50.43465822054892, '36': -32.509098690045356, '35': -49.31783341065109}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 93)","((26.71339746948766, -80.0560190088662), (26.71339746948766, -80.0560089410834), (26.71340646270372, -80.0560190088662), (26.71340646270372, -80.0560089410834))","(26.713401966095688, -80.0560139749748)","{'57': 91.40988001240618, '20': 70.67716092276925, '05': 14.196882947797448, '34': 34.280245203327276, '22': 91.94595027718599, '06': 71.95166332965074, '31': 34.07073713486153, '36': 7.445641009250029, '35': 29.359544312358963}","{'57': -63.68163494719584, '20': -60.33021365274506, '05': -39.41763082972424, '34': -50.90315837286759, '22': -63.757818951015935, '06': -60.5630659243882, '31': -50.8232866754383, '36': -31.008903568804065, '35': -48.884320100158135}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 94)","((26.71339746948766, -80.0560089410834), (26.71339746948766, -80.05599887330061), (26.71340646270372, -80.0560089410834), (26.71340646270372, -80.05599887330061))","(26.713401966095688, -80.05600390719201)","{'57': 92.40345808926608, '20': 71.66468665077396, '05': 14.91432437747909, '34': 33.31656430905659, '22': 92.94774142860759, '06': 72.95336665671145, '31': 35.07203359955072, '36': 6.564181654017753, '35': 28.366815051229658}","{'57': -63.82248751531335, '20': -60.510996969578144, '05': -40.05994831592947, '34': -50.53164706493613, '22': -63.89900601562639, '06': -60.74320093724637, '31': -51.200669236866766, '36': -29.367258511130583, '35': -48.43615809491538}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 95)","((26.71339746948766, -80.05599887330061), (26.71339746948766, -80.05598880551781), (26.71340646270372, -80.05599887330061), (26.71340646270372, -80.05598880551781))","(26.713401966095688, -80.05599383940921)","{'57': 93.3972117579779, '20': 72.65260314606064, '05': 15.663009050717447, '34': 32.35519894130975, '22': 93.94953271500215, '06': 73.95507253514508, '31': 36.07335788644905, '36': 5.722463490635593, '35': 27.374746518464825}","{'57': -63.961858116220924, '20': -60.68937617210129, '05': -40.69809674748694, '34': -50.15016301593191, '22': -64.03867951159356, '06': -60.92087980175467, '31': -51.56743789529658, '36': -27.579331697579118, '35': -47.97234397408636}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 96)","((26.71339746948766, -80.05598880551781), (26.71339746948766, -80.05597873773502), (26.71340646270372, -80.05598880551781), (26.71340646270372, -80.05597873773502))","(26.713401966095688, -80.05598377162642)","{'57': 94.3911354745446, '20': 73.64089468042421, '05': 16.438668686162693, '34': 31.396361803396854, '22': 94.95132413215988, '06': 74.95678086281458, '31': 37.074707741437585, '36': 4.940839289661702, '35': 26.383413250548493}","{'57': -64.09977709448819, '20': -60.865412467260995, '05': -41.32784005728221, '34': -49.75822053504481, '22': -64.17687154647484, '06': -61.09616858554822, '31': -51.924172866581, '36': -25.66586261656432, '35': -47.49177018066561}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 97)","((26.71339746948766, -80.05597873773502), (26.71339746948766, -80.05596866995222), (26.71340646270372, -80.05597873773502), (26.71340646270372, -80.05596866995222))","(26.713401966095688, -80.05597370384362)","{'57': 95.38522392131354, '20': 74.62954635617204, '05': 17.23766221225554, '34': 30.440291807481128, '22': 95.95311567593181, '06': 75.95849154263706, '31': 38.076081147069, '36': 4.252575012042534, '35': 25.392901359955314}","{'57': -64.23627388800648, '20': -61.03916483265105, '05': -41.94619176283921, '34': -49.355305121879226, '22': -64.31361321688354, '06': -61.26913072628122, '31': -52.27140809227982, '36': -23.711400269835543, '35': -46.993210549969014}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 98)","((26.71339746948766, -80.05596866995222), (26.71339746948766, -80.05595860216943), (26.71340646270372, -80.05596866995222), (26.71340646270372, -80.05595860216943))","(26.713401966095688, -80.05596363606082)","{'57': 96.37947200220712, '20': 75.61854404609674, '05': 18.05689241430998, '34': 29.48725811202855, '22': 96.95490734240619, '06': 76.96020448289218, '31': 39.07747629325952, '36': 3.7099989811237433, '35': 24.40331086532062}","{'57': -64.37137706398741, '20': -61.21069011797515, '05': -42.55113109479107, '34': -48.940872520942655, '22': -64.44893465051324, '06': -61.439827169477155, '31': -52.609636029650225, '36': -21.933054491333888, '35': -46.47530334942054}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 99)","((26.71339746948766, -80.05595860216943), (26.71339746948766, -80.05594853438663), (26.71340646270372, -80.05595860216943), (26.71340646270372, -80.05594853438663))","(26.713401966095688, -80.05595356827803)","{'57': 97.37387482648163, '20': 76.60787435074997, '05': 18.893727093266776, '34': 28.537564920570755, '22': 97.95669912783124, '06': 77.96191959651651, '31': 40.07889155009969, '36': 3.3839307770240756, '35': 23.414758589410205}","{'57': -64.50511435163318, '20': -61.38004314332807, '05': -43.14136992051042, '34': -48.5143481554781, '22': -64.58286504596856, '06': -61.60831649729734, '31': -52.93931183717402, '36': -20.73448489192721, '35': -45.93653131547602}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 100)","((26.71339746948766, -80.05594853438663), (26.71339746948766, -80.05593846660383), (26.71340646270372, -80.05594853438663), (26.71340646270372, -80.05593846660383))","(26.713401966095688, -80.05594350049523)","{'57': 98.36842770201686, '20': 77.59752454688854, '05': 19.745928138692875, '34': 27.59155716853371, '22': 98.95849102857662, '06': 78.96363680061754, '31': 41.08032544697644, '36': 3.3384246934651385, '35': 22.427381822279546}","{'57': -64.63751267447503, '20': -61.5472767900839, '05': -43.71616734561013, '34': -48.075127116804204, '22': -64.7154327105743, '06': -61.77465504912868, '31': -53.260857046320446, '36': -20.558088303377254, '35': -45.37519808811465}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 101)","((26.71339746948766, -80.05593846660383), (26.71339746948766, -80.05592839882104), (26.71340646270372, -80.05593846660383), (26.71340646270372, -80.05592839882104))","(26.713401966095688, -80.05593343271244)","{'57': 99.36312612225274, '20': 78.58748255004369, '05': 20.611589636452297, '34': 26.649627339662928, '22': 99.96028304120496, '06': 79.96535601665053, '31': 42.08177665315234, '36': 3.5841830619985013, '35': 21.441342960073356}","{'57': -64.7685981803011, '20': -61.71244208874844, '05': -44.27518540149251, '34': -47.622574991855075, '22': -64.84666509629503, '06': -61.938897034681226, '31': -53.57466279214487, '36': -21.483546274854778, '35': -44.789400287006835}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 102)","((26.71339746948766, -80.05592839882104), (26.71339746948766, -80.05591833103824), (26.71340646270372, -80.05592839882104), (26.71340646270372, -80.05591833103824))","(26.713401966095688, -80.05592336492964)","{'57': 100.3579657605373, '20': 79.57773687073659, '05': 21.489084934749354, '34': 25.712223602023585, '22': 100.96207516236181, '06': 80.96707717010938, '31': 43.08324396147819, '36': 4.0687656447323794, '35': 20.456835468693463}","{'57': -64.89839627060994, '20': -61.87558830059701, '05': -44.81837845338592, '34': -47.15602986712418, '22': -64.97658883384, '06': -62.1010946399685, '31': -53.881092665399414, '36': -23.135721055372798, '35': -44.176994347347026}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 103)","((26.71339746948766, -80.05591833103824), (26.71339746948766, -80.05590826325545), (26.71340646270372, -80.05591833103824), (26.71340646270372, -80.05590826325545))","(26.713401966095688, -80.05591329714684)","{'57': 101.35294245759361, '20': 80.56827658764178, '05': 22.377021922101193, '34': 24.779859617377724, '22': 101.96386738884159, '06': 81.96880018977629, '31': 44.08472627475441, '36': 4.719166917060475, '35': 19.474091605244364}","{'57': -65.02693162776806, '20': -62.036762997316316, '05': -45.345909401102816, '34': -46.67480603157096, '22': -65.1052297651072, '06': -62.26129812670384, '31': -54.1804852381151, '36': -25.06780093965093, '35': -43.535557038287656}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 104)","((26.71339746948766, -80.05590826325545), (26.71339746948766, -80.05589819547265), (26.71340646270372, -80.05590826325545), (26.71340646270372, -80.05589819547265))","(26.713401966095688, -80.05590322936405)","{'57': 102.3480522165739, '20': 81.55909129815171, '05': 23.2742055415788, '34': 23.853126369308054, '22': 102.96565971757673, '06': 82.97052500811915, '31': 45.086222592974714, '36': 5.476624486356737, '35': 18.493392529327828}","{'57': -65.15422824185455, '20': -62.196012132426404, '05': -45.85808674260189, '34': -46.17820005076971, '22': -65.23261297403116, '06': -62.419555925842616, '31': -54.473156306088505, '36': -27.007229696304343, '35': -42.86233841584693}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 105)","((26.71339746948766, -80.05589819547265), (26.71339746948766, -80.05588812768985), (26.71340646270372, -80.05589819547265), (26.71340646270372, -80.05588812768985))","(26.713401966095688, -80.05589316158125)","{'57': 103.34329119352826, '20': 82.55017110036812, '05': 24.179606526843664, '34': 22.932706500509344, '22': 103.96745214563202, '06': 83.97225156087197, '31': 46.087732003130235, '36': 6.302657535199398, '35': 17.51508171661302}","{'57': -65.28030943566361, '20': -62.353380113629214, '05': -46.35531766108439, '34': -45.66550016672334, '22': -65.35876281593835, '06': -62.575914725384884, '31': -54.75940088602074, '36': -28.83755207179692, '35': -42.154205816767906}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 106)","((26.71339746948766, -80.05588812768985), (26.71339746948766, -80.05587805990706), (26.71340646270372, -80.05588812768985), (26.71340646270372, -80.05587805990706))","(26.713401966095688, -80.05588309379846)","{'57': 104.3386556912224, '20': 83.54150656273505, '05': 25.092335378322385, '34': 22.019391729929456, '22': 104.96924467013295, '06': 84.97397978657172, '31': 47.08925366998446, '36': 7.173615901247453, '35': 16.539582970249985}","{'57': -65.4051978889661, '20': -62.50890986911359, '05': -46.83807328848384, '34': -45.1360003127252, '22': -65.48370294548661, '06': -62.7304195529669, '31': -55.03949499846859, '36': -30.52398436364343, '35': -41.40757743203808}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(7, 107)","((26.71339746948766, -80.05587805990706), (26.71339746948766, -80.05586799212426), (26.71340646270372, -80.05587805990706), (26.71340646270372, -80.05586799212426))","(26.713401966095688, -80.05587302601566)","{'57': 105.33414215031257, '20': 84.53308868696122, '05': 26.011620719708002, '34': 21.114104094775442, '22': 105.97103728837597, '06': 85.97570962680079, '31': 48.09078682777525, '36': 8.074975855770942, '35': 15.567424934088274}","{'57': -65.52891566132448, '20': -62.662642909123335, '05': -47.30686316658435, '34': -44.58902053124904, '22': -65.6074563433003, '06': -62.88311385372138, '31': -55.3136972636113, '36': -32.06607775484289, '35': -40.61834418807984}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
